State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Taraba,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,2.638245673999239,2.6511344195945097,0.012888745595270645,0.48853470024772083
Yobe,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,1.8688686944973276,2.0643503687582503,0.19548167426092267,10.459893455141945
Zamfara,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,1.9801238613872905,2.1055722777745896,0.1254484163872991,6.33538228762159
Abia,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1076467263764953,2.161822357537622,0.05417563116112678,2.5704322495386367
Adamawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.228160901514542,2.304059681696088,0.07589878018154605,3.406341980507582
Akwa Ibom,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.872649060175104,1.9327708172825693,0.06012175710746526,3.2105191723345916
Anambra,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.995924798496167,2.0515501656878112,0.05562536719164424,2.7869470449766074
Bauchi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1911408567156014,2.2847295754377135,0.09358871872211205,4.271232423751906
Bayelsa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1283699370790585,2.194098477472259,0.06572854039320042,3.0882103363762616
Benue,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.19856824250258,2.285760830007659,0.08719258750507874,3.9658804225166744
Borno,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0703928745107003,2.158711629431399,0.08831875492069852,4.265796893334606
Cross River,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.030445114502975,2.0905668716104406,0.0601217571074657,2.9610136554803
Delta,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0305870274144278,2.086212394606072,0.05562536719164424,2.739373710196146
Ebonyi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.9564966462995055,2.0051436684711743,0.04864702217166883,2.4864352445315574
Edo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.111047715517973,2.167702761747816,0.05665504622984319,2.6837406759392994
Ekiti,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0437113506512485,2.0844540018871123,0.040742651235863736,1.9935619197339531
Enugu,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0081454928192786,2.0548589867061886,0.04671349388691004,2.326200668923045
FCT,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.242027472634796,2.328501147304038,0.08647367466924205,3.8569409039229807
Gombe,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2229100314658363,2.312684899139484,0.08977486767364784,4.038619035537318
Imo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0945526450593923,2.1545179776981,0.059965332638707736,2.8629183792612376
Jigawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1819739435208767,2.2719637473868035,0.08998980386592681,4.124238244601467
Kaduna,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.363204426464491,2.4739503648418264,0.11074593837733548,4.686261465031982
