State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Plateau,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,2.117811946993451,2.4726443968834557,0.35483244989000484,16.754672216942694
Rivers,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,1.824341303572406,1.8353764113885587,0.011035107816152578,0.6048817616826274
Sokoto,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,2.2195111565910786,2.423635019087342,0.20412386249626335,9.19679371243958
Taraba,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,2.638245673999239,2.6511344195945097,0.012888745595270645,0.48853470024772083
Yobe,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,1.8688686944973276,2.0643503687582503,0.19548167426092267,10.459893455141945
Zamfara,2024,LightGBM,T+2_R-10,Compound,2.0,-10.0,1.9801238613872905,2.1055722777745896,0.1254484163872991,6.33538228762159
Abia,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1076467263764957,2.161822357537622,0.054175631161126336,2.570432249538615
Adamawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.228160901514541,2.3040596816960868,0.07589878018154561,3.4063419805075634
Akwa Ibom,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.8726490601751038,1.9952523748327073,0.12260331465760355,6.547052369018861
Anambra,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.995924798496167,2.065434956254509,0.06951015775834213,3.482604044536882
Bauchi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1911408567156014,2.284729575437714,0.0935887187221125,4.2712324237519255
Bayelsa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1283699370790585,2.194098477472259,0.06572854039320042,3.0882103363762616
Benue,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.19856824250258,2.2857608300076593,0.08719258750507919,3.965880422516695
Borno,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0703928745107003,2.158711629431399,0.08831875492069852,4.265796893334606
Cross River,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0304451145029754,2.1530484291605787,0.12260331465760332,6.0382481546473565
