Model,Target_Coverage,Calibration_Size,Calibration_qhat,MAE,RMSE,R2,Mean_Error,Coverage,Mean_Interval_Width,Median_Interval_Width,Min_Interval_Width,Max_Interval_Width
Ridge,0.9,37,0.7798616688689757,0.39128406962262074,0.49917777665283997,0.020276273225066865,-0.1336070248965621,0.918918918918919,1.5597233377379511,1.5597233377379514,1.5597233377379511,1.5597233377379516
RandomForest,0.9,37,0.7260615145040163,0.4211256785556786,0.5213239441624636,-0.06858355370211089,-0.1989230865430865,0.8918918918918919,1.4521230290080331,1.4521230290080327,1.4521230290080325,1.452123029008033
LightGBM,0.9,37,0.7382316155032245,0.4483866440947921,0.548619195995826,-0.18340974117360798,-0.23478985078372158,0.8108108108108109,1.476463231006449,1.476463231006449,1.4764632310064487,1.4764632310064492
