Model,Target_Coverage,MAE,RMSE,R2,Mean_Error,Coverage,Mean_Interval_Width,Median_Interval_Width,Min_Interval_Width,Max_Interval_Width
LightGBM,0.9,0.4004611493791275,0.47813290406812764,-0.10365615117278693,0.09148737549917692,0.9081081081081082,1.5474879084738686,1.4982640617959095,1.268975101742585,2.0467663010491357
RandomForest,0.9,0.3882929609354023,0.4712511437729452,-0.07211496690062313,0.09985672291128175,0.8972972972972973,1.5768129728579745,1.5112309042809038,1.2740326923076937,2.0144654304954317
Ridge,0.9,0.41566952516333294,0.506406062617614,-0.23803897490318948,0.09619013146119476,0.9027027027027027,1.6667103268820767,1.565299646374404,1.382249157891965,2.179601847578211
