Model,MAE,RMSE,R2,Mean_Error
Ridge,0.299352635996795,0.37178444289880236,0.03309566152165,-0.02786351276486653
RandomForest,0.26600103471603465,0.37888444310730524,-0.004187081703169948,-0.04270030756530732
LightGBM,0.27249839857741925,0.3861857450551028,-0.04326241324744573,-0.04211506352347485
