Model,Feature,Mean_Absolute_SHAP,Median_Absolute_SHAP,Mean_SHAP,Rank
LightGBM,Seasonal_GDD_C,0.15490779487045034,0.13769675292892888,-0.005074030005043546,1
LightGBM,Mean_Solar_Radiation_MJ_m2_day,0.08228869349734011,0.07585040997468237,-0.005000989030147163,2
LightGBM,Mean_Tmax_C,0.07020874059903294,0.06713534622164626,0.00952293333479908,3
LightGBM,Mean_Tmin_C,0.059947621709599636,0.051763082915006815,-0.0002908328750521137,4
LightGBM,Rainfall_Anomaly_Z_2000_2019,0.04127221202659499,0.03218632724162046,-0.0009545786064568974,5
LightGBM,Seasonal_Rainfall_mm,0.03566894840578679,0.02797213896093231,0.004834972497589076,6
LightGBM,Mean_RH_pct,0.034069317451458095,0.027163669963768275,-0.007832072809317392,7
LightGBM,Max_CDD_days,0.025264582546569537,0.02022679402382751,0.004137648868084671,8
RandomForest,Seasonal_GDD_C,0.17242491026595747,0.15504652091728133,-0.011210483388162128,1
RandomForest,Mean_Solar_Radiation_MJ_m2_day,0.08540767430706761,0.06943748825594881,0.0016093131462356007,2
RandomForest,Mean_Tmax_C,0.061216980263922346,0.050681623893022464,0.005278113086608801,3
RandomForest,Mean_Tmin_C,0.031779803477750605,0.02892228257469662,0.009096069243263975,4
RandomForest,Seasonal_Rainfall_mm,0.02451432094083146,0.01906874314489103,0.00718937799048498,5
RandomForest,Mean_RH_pct,0.02028421227997719,0.016310108923852398,-0.003091299082669652,6
RandomForest,Rainfall_Anomaly_Z_2000_2019,0.020228166303745652,0.013021187193613693,0.004623385628743104,7
RandomForest,Max_CDD_days,0.008580525734094346,0.006969725961248303,0.0038415694234379166,8
