State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Akwa Ibom,South South,2023,1.24,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,2374.96,4585.145,3,29.10352727272727,24.242981818181818,89.3528,15.72330909090909,-0.8937803990340917,275,275,ok
Akwa Ibom,South South,2024,1.27,Agricultural Productivity Survey 2024,Table 12.2,South,1869.09,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727271,-1.8894777114847496,275,275,ok
Anambra,South East,2020,1.96,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2209.44,4440.435,11,29.250690909090903,23.043381818181818,87.63425454545454,17.070800000000002,0.9672548710028384,275,275,ok
Anambra,South East,2021,1.99,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2162.34,4433.014999999999,10,29.016872727272727,23.223236363636364,88.82174545454546,16.93858181818182,0.8779268269870816,275,275,ok
Anambra,South East,2022,2.12,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1429.84,4430.95,14,29.22610909090909,22.99898181818181,87.20010909090908,16.301781818181816,-0.5113044307951118,275,275,ok
Anambra,South East,2023,2.17,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1587.33,4537.595,8,29.387600000000003,23.61309090909091,88.52974545454545,16.616436363636364,-0.2126149689683303,275,275,ok
Anambra,South East,2024,2.23,Agricultural Productivity Survey 2024,Table 12.2,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-0.6683966152075341,275,275,ok
Bauchi,North East,2020,1.84,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1338.38,2857.49,16,29.895434782608696,21.164239130434783,79.14635869565218,19.908967391304348,3.3144213928728363,184,184,ok
Bauchi,North East,2021,1.89,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,3158.65,2917.545,7,29.966413043478266,21.746032608695653,79.24277173913043,20.37092391304348,12.587090836517508,184,184,very_high
Bauchi,North East,2022,1.53,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,1997.89,2784.585,11,29.248695652173915,21.01853260869565,80.89706521739132,19.61842391304348,6.674042891209951,184,184,ok
