Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
RandomForest,2.0,Abia,False,1.8450129406704383,1.84505274225774,1.8460314724164704,1.8460314724164704
RandomForest,2.0,Adamawa,False,2.7458942259592267,2.752315127465128,2.750784095719096,2.7471121909571905
RandomForest,2.0,Akwa Ibom,False,1.864057685277684,1.8668944842194828,1.8479638136863124,1.8471504406704395
RandomForest,2.0,Anambra,True,1.82309012080512,1.8083180921855917,1.8071472191697184,1.8071472191697184
RandomForest,2.0,Bauchi,True,2.46778927063677,2.461832127779628,2.456218688626189,2.454493900266401
RandomForest,2.0,Bayelsa,True,1.980706512839012,1.9030076720501703,1.885457001517,1.884643628501127
RandomForest,2.0,Benue,True,2.585887426647428,2.583736077441078,2.573926672679173,2.5678277837902845
RandomForest,2.0,Borno,False,2.5686603258778278,2.5736377861952877,2.573911992544493,2.5802299290524298
RandomForest,2.0,Cross River,False,1.897900264642764,1.9007370635845624,1.882942504162503,1.88212913114663
RandomForest,2.0,Delta,True,1.876746694879193,1.861691332926331,1.86147284086284,1.8614728408628396
RandomForest,2.0,Ebonyi,True,1.7905735551485555,1.7884135551485554,1.7884135551485554,1.7884135551485554
RandomForest,2.0,Edo,False,1.9575295868945863,1.9015984890109885,1.902008409645909,1.9020084096459096
RandomForest,2.0,Ekiti,True,1.85445516048766,1.7995804995929987,1.7988179599104597,1.7988179599104597
RandomForest,2.0,Enugu,True,1.7964886080586076,1.7964886080586078,1.7943286080586078,1.7943286080586078
RandomForest,2.0,FCT,False,2.7521344600769613,2.7515679785954794,2.755042026214528,2.7329836135161143
RandomForest,2.0,Gombe,False,2.7467859599659605,2.7459540407740413,2.7609516333666337,2.7618434058534063
RandomForest,2.0,Imo,False,1.9317514334739316,1.8654232629407617,1.85008655178155,1.8528472660672644
RandomForest,2.0,Jigawa,True,2.0050387662337665,1.991681451418951,1.9729781469456469,1.9624477501202495
RandomForest,2.0,Kaduna,False,2.431692605635104,2.4325390606615587,2.42826149147149,2.427494507344506
RandomForest,2.0,Kano,True,1.985971950456951,1.959111188071188,1.954251794131795,1.9411775084175085
RandomForest,2.0,Katsina,False,2.0661695177970176,2.0690834066859063,2.0613212109187105,2.0494925468975462
RandomForest,2.0,Kebbi,False,2.112132276334776,2.1105575144300137,2.110557514430014,2.110571800144299
RandomForest,2.0,Kogi,False,2.586497092352093,2.5893955844155845,2.576562012987013,2.574584235209235
RandomForest,2.0,Kwara,False,2.6644112296037306,2.678013792688793,2.675979652477153,2.663740287397788
RandomForest,2.0,Lagos,True,1.915828533503532,1.862673713878712,1.8624552218152204,1.86245522181522
RandomForest,2.0,Nasarawa,False,2.602722501202501,2.6072045250120253,2.587856151996152,2.578116601731601
RandomForest,2.0,Niger,True,2.506576469456469,2.4894226202501195,2.486609286916786,2.483323731361231
RandomForest,2.0,Ogun,False,1.9394630486180475,1.9336037006511992,1.8634957905982892,1.8667942032967024
RandomForest,2.0,Ondo,True,1.85445516048766,1.7995804995929987,1.7988179599104597,1.7988179599104597
RandomForest,2.0,Osun,True,1.9445589692714675,1.9351900313575296,1.8544120941095927,1.8534630068080056
RandomForest,2.0,Oyo,False,1.947506125356124,1.9442660936285925,1.8646792105117092,1.8665597660672648
RandomForest,2.0,Plateau,False,2.3338082147482155,2.339049306619308,2.3272552590002595,2.333488847263848
RandomForest,2.0,Rivers,False,1.9046194842194832,1.8956511112036096,1.8880361681836664,1.891175572945572
RandomForest,2.0,Sokoto,False,2.060780815665815,2.065490815665815,2.0668661066711063,2.041723156935656
RandomForest,2.0,Taraba,False,2.6011214872164863,2.5971285374810376,2.5972677306027303,2.5861139475339474
RandomForest,2.0,Yobe,True,1.976771734006734,1.9537747655122648,1.9504142099567097,1.9382172879897872
RandomForest,2.0,Zamfara,False,2.07457683103933,2.069388735801235,2.0344145711695707,2.043535814555814
