Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
Ridge,2.0,Abia,False,2.149261174592024,2.155541766064823,2.161822357537622,2.168102949010421
Ridge,2.0,Adamawa,True,2.334636701336073,2.3193481915160805,2.304059681696088,2.288771171876096
Ridge,2.0,Akwa Ibom,False,1.9142635083906323,1.9235171628366008,1.9327708172825693,1.9420244717285375
Ridge,2.0,Anambra,False,2.0375392467116957,2.044544706199753,2.0515501656878112,2.058555625175869
Ridge,2.0,Bauchi,True,2.297616656537132,2.291173115987423,2.284729575437713,2.278286034888004
Ridge,2.0,Bayelsa,False,2.169984385294587,2.182041431383423,2.194098477472259,2.2061555235610952
Ridge,2.0,Benue,False,2.283661179157297,2.2847110045824777,2.285760830007659,2.28681065543284
Ridge,2.0,Borno,True,2.1768686743322307,2.167790151881815,2.158711629431399,2.149633106980983
Ridge,2.0,Cross River,False,2.0720595627185032,2.081313217164472,2.0905668716104406,2.099820526056409
Ridge,2.0,Delta,False,2.072201475629956,2.0792069351180142,2.086212394606072,2.09321785409413
Ridge,2.0,Ebonyi,False,1.9981110945150335,2.001627381493104,2.0051436684711743,2.0086599554492444
Ridge,2.0,Edo,False,2.1526621637335013,2.160182462740659,2.167702761747816,2.175223060754974
Ridge,2.0,Ekiti,True,2.085325798866777,2.0848899003769445,2.0844540018871123,2.08401810339728
Ridge,2.0,Enugu,False,2.0497599410348077,2.052309463870498,2.0548589867061886,2.0574085095418795
Ridge,2.0,FCT,False,2.3271204092895124,2.3278107782967754,2.328501147304038,2.329191516311301
Ridge,2.0,Gombe,True,2.329385831287367,2.321035365213426,2.312684899139484,2.304334433065543
Ridge,2.0,Imo,False,2.1361670932749206,2.1453425354865105,2.1545179776981,2.16369341990969
Ridge,2.0,Jigawa,True,2.288449743342407,2.2802067453646053,2.2719637473868035,2.2637207494090017
Ridge,2.0,Kaduna,False,2.469680226286022,2.471815295563924,2.4739503648418264,2.4760854341197285
Ridge,2.0,Kano,True,2.332038993920205,2.323490523137167,2.3149420523541275,2.306393581571089
Ridge,2.0,Katsina,True,2.314501815227593,2.2905004024515154,2.266498989675437,2.24249757689936
Ridge,2.0,Kebbi,True,2.7394111129884937,2.693435887083477,2.64746066117846,2.601485435273444
Ridge,2.0,Kogi,True,2.338729251371485,2.336012371078863,2.333295490786241,2.3305786104936197
Ridge,2.0,Kwara,True,2.4421558423110814,2.4368166316227224,2.431477420934364,2.426138210246005
Ridge,2.0,Lagos,True,1.7167500849924866,1.7156822942880634,1.7146145035836402,1.713546712879217
Ridge,2.0,Nasarawa,False,2.2967883452497877,2.2973328641100865,2.297877382970386,2.298421901830685
Ridge,2.0,Niger,True,2.19486356233064,2.193352195756512,2.1918408291823845,2.190329462608257
Ridge,2.0,Ogun,False,2.0752323022703627,2.075595077333274,2.075957852396185,2.076320627459096
Ridge,2.0,Ondo,True,2.085325798866777,2.0848899003769445,2.0844540018871123,2.08401810339728
Ridge,2.0,Osun,False,2.190780848674517,2.191847878970305,2.1929149092660927,2.1939819395618807
Ridge,2.0,Oyo,True,2.1900361558919186,2.1882118991546644,2.18638764241741,2.184563385680156
Ridge,2.0,Plateau,True,2.336160804829985,2.336073432870018,2.335986060910051,2.335898688950084
Ridge,2.0,Rivers,False,2.3022401080512185,2.312734565984308,2.323229023917398,2.333723481850488
Ridge,2.0,Sokoto,True,2.3516280785609567,2.3342133208674287,2.3167985631739008,2.299383805480373
Ridge,2.0,Taraba,True,2.5274688476882434,2.5187066182860938,2.509944388883944,2.501182159481795
Ridge,2.0,Yobe,True,2.265476513012884,2.251897298872344,2.2383180847318034,2.2247388705912634
Ridge,2.0,Zamfara,True,2.297199836335811,2.290066206787277,2.282932577238744,2.2757989476902107
