Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
LightGBM,2.0,Abia,False,1.767223295028358,1.7988892899707596,1.7988892899707596,1.7988892899707596
LightGBM,2.0,Adamawa,False,2.9048194254839306,2.932177895742811,2.868426205728712,2.78901479288193
LightGBM,2.0,Akwa Ibom,False,1.76404580751311,1.784880533434311,1.7627951903819572,1.7627951903819572
LightGBM,2.0,Anambra,True,1.8188130992884943,1.8003471594829887,1.8003471594829887,1.8003471594829887
LightGBM,2.0,Bauchi,False,2.5891747880960643,2.5927106558961435,2.591897289093691,2.573619054599612
LightGBM,2.0,Bayelsa,True,1.9867206544560985,1.8531086249077409,1.79359845143732,1.79359845143732
LightGBM,2.0,Benue,True,2.6706311476912297,2.596421660263403,2.596421660263403,2.556374095924713
LightGBM,2.0,Borno,False,2.5538667935889894,2.5601442292499037,2.5572272614078777,2.5043176605042734
LightGBM,2.0,Cross River,False,1.8051645479794511,1.821767175606496,1.79359845143732,1.79359845143732
LightGBM,2.0,Delta,True,1.8285196307446043,1.8100536909390987,1.8100536909390987,1.8100536909390987
LightGBM,2.0,Ebonyi,True,1.7842757619139475,1.7842757619139475,1.7842757619139475,1.7842757619139475
LightGBM,2.0,Edo,False,1.8567787235606,1.8871258321437256,1.833598813556913,1.833992543542244
LightGBM,2.0,Ekiti,True,1.958975618498279,1.7935264573110434,1.7935264573110434,1.7827796198383774
LightGBM,2.0,Enugu,True,1.8038367571564544,1.7849430795062786,1.7849430795062786,1.7849430795062786
LightGBM,2.0,FCT,False,2.7784554750980828,2.7476871354546635,2.765199170009508,2.688520881022067
LightGBM,2.0,Gombe,False,2.7912379781587986,2.874331473033913,2.8948733397022104,2.905019268829109
LightGBM,2.0,Imo,False,1.99389883755416,1.8074569861510377,1.78225278948813,1.7988892899707596
LightGBM,2.0,Jigawa,True,2.268570397135976,2.1871561955927734,2.166172283870314,2.078051963918032
LightGBM,2.0,Kaduna,False,2.3845607145107004,2.4076488665270253,2.4917519365581664,2.421062406569407
LightGBM,2.0,Kano,False,2.2446703270828934,2.144362447889514,2.1485518447173746,2.0541518938649483
LightGBM,2.0,Katsina,False,2.1769638553902184,2.190709124567533,2.187376810056938,2.1615593885710256
LightGBM,2.0,Kebbi,True,2.1980105821032123,2.1934286470869777,2.19129210266831,2.157808233307701
LightGBM,2.0,Kogi,True,2.7766080187104576,2.718823407373193,2.668321252560044,2.668321252560044
LightGBM,2.0,Kwara,False,2.718838876464104,2.789656612394761,2.729258971542379,2.6550494841145524
LightGBM,2.0,Lagos,True,2.029168672561725,1.8555650175194407,1.844818180046775,1.844818180046775
LightGBM,2.0,Nasarawa,False,2.4870834609696177,2.613207891929864,2.5664628424782943,2.3930660282596845
LightGBM,2.0,Niger,True,2.1457624829459374,2.126868805295761,2.126868805295761,2.117732969584807
LightGBM,2.0,Ogun,False,2.03291635450267,1.975712981919334,1.7985526316321652,1.8151891321147948
LightGBM,2.0,Ondo,True,1.958975618498279,1.7935264573110434,1.7935264573110434,1.7827796198383774
LightGBM,2.0,Osun,False,1.83450920743158,1.9431914007144224,1.7516683090969738,1.7876404831524135
LightGBM,2.0,Oyo,False,1.879476361704337,1.9552426284477376,1.767223295028358,1.7988892899707596
LightGBM,2.0,Plateau,False,2.345821429949318,2.472644396883456,2.454266443933566,2.464319815489011
LightGBM,2.0,Rivers,False,1.836505997280696,1.835376411388559,1.79359845143732,1.8252644463797216
LightGBM,2.0,Sokoto,False,2.3675929889419307,2.423635019087342,2.4203027045767467,2.3273483059605944
LightGBM,2.0,Taraba,False,2.645240182190827,2.6511344195945097,2.6808769045206486,2.6091426754041747
LightGBM,2.0,Yobe,True,2.079054649580565,2.0643503687582503,2.02755646154852,1.9396401870817688
LightGBM,2.0,Zamfara,True,2.1159626510321967,2.1055722777745896,2.0485802216044946,2.0485802216044946
