Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
LightGBM,1.0,Abia,False,1.7560964137433746,1.7920685877988145,1.7920685877988145,1.7813217503261485
LightGBM,1.0,Adamawa,False,2.724401433362718,2.728240003577467,2.6857200842811317,2.606308671434349
LightGBM,1.0,Akwa Ibom,False,1.7529189262281266,1.7737536521493276,1.7516683090969738,1.7516683090969738
LightGBM,1.0,Anambra,True,1.807686218003511,1.7935264573110434,1.7935264573110434,1.7827796198383774
LightGBM,1.0,Bauchi,False,2.5634487388285514,2.5669846066286306,2.5661712398261782,2.535442548373625
LightGBM,1.0,Bayelsa,True,1.979097531369184,1.8419817436227572,1.7824715701523366,1.7824715701523366
LightGBM,1.0,Benue,True,2.689248952121205,2.6150394646933792,2.6150394646933792,2.560804920888664
LightGBM,1.0,Borno,False,2.5538667935889894,2.5601442292499037,2.5572272614078777,2.5043176605042734
LightGBM,1.0,Cross River,False,1.7940376666944675,1.8106402943215127,1.7824715701523366,1.7824715701523366
LightGBM,1.0,Delta,True,1.817392749459621,1.8032329887671532,1.8032329887671532,1.7924861512944874
LightGBM,1.0,Ebonyi,True,1.7872350116394995,1.7872350116394995,1.7872350116394995,1.7872350116394995
LightGBM,1.0,Edo,False,1.844836998321665,1.8794902860178289,1.825963267431016,1.8164250038976328
LightGBM,1.0,Ekiti,True,2.164630802685904,2.013964469073441,2.013964469073441,2.003217631600775
LightGBM,1.0,Enugu,True,1.8106332755141643,1.7917395978639885,1.7917395978639885,1.7917395978639885
LightGBM,1.0,FCT,False,2.8584316651008224,2.8225722402577658,2.8400842748126105,2.763405985825169
LightGBM,1.0,Gombe,False,2.7016385659677464,2.709967455959128,2.7211538508421538,2.733540216163272
LightGBM,1.0,Imo,False,1.9862757144672447,1.7963301048660545,1.7754320873161846,1.7920685877988145
LightGBM,1.0,Jigawa,True,2.268570397135976,2.1871561955927734,2.166172283870314,2.078051963918032
LightGBM,1.0,Kaduna,False,1.9843443253109716,2.034480179476992,2.1120399251511053,2.050879163223515
LightGBM,1.0,Kano,False,2.232832909874934,2.132525030681555,2.1367144275094154,2.042314476656989
LightGBM,1.0,Katsina,True,2.1987596224722328,2.196163806758729,2.1928314922481342,2.167014070762222
LightGBM,1.0,Kebbi,True,2.1260116392642674,2.121429704248033,2.119293159829365,2.0884458639280714
LightGBM,1.0,Kogi,True,2.795225823140434,2.737441211803169,2.6727520775239952,2.6727520775239952
LightGBM,1.0,Kwara,False,2.748286101555674,2.8337870056645458,2.7567545609751782,2.6825450735473515
LightGBM,1.0,Lagos,True,2.0238107933555445,1.8545272050961343,1.8437803676234683,1.8437803676234683
LightGBM,1.0,Nasarawa,False,2.831840840764722,2.887358100818906,2.840613051367336,2.709939993820224
LightGBM,1.0,Niger,True,2.6997306003190253,2.6808369226688487,2.6808369226688487,2.6303347678557
LightGBM,1.0,Ogun,False,2.0242554189924484,1.967052046409113,1.7906941170369135,1.8073306175195432
LightGBM,1.0,Ondo,True,2.164630802685904,2.013964469073441,2.013964469073441,2.003217631600775
LightGBM,1.0,Osun,False,1.954361789969012,2.068755077400437,1.8772319857829896,1.924692253944696
LightGBM,1.0,Oyo,False,1.867865240989801,1.947619505360823,1.7560964137433746,1.7920685877988145
LightGBM,1.0,Plateau,False,2.2193415139792774,2.300097979895982,2.2765789918708186,2.286632363426264
LightGBM,1.0,Rivers,False,1.8253791159957125,1.8242495301035755,1.7824715701523366,1.8184437442077763
LightGBM,1.0,Sokoto,False,2.218402224486442,2.26293803078326,2.2596057162726644,2.163639106949601
LightGBM,1.0,Taraba,False,2.598679175672269,2.6045987067601426,2.6343411916862816,2.5760192617962403
LightGBM,1.0,Yobe,True,2.0672172323726064,2.052512951550291,2.015719044340561,1.9234425837464304
LightGBM,1.0,Zamfara,True,2.0476638298941245,2.0265955413174237,1.9985196042948312,1.9985196042948312
