Model,Scenario,Scenario_Type,Extreme_Type,State,Year,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
LightGBM,T+1_R-10,Compound,Most_Negative,Imo,2024,1.0,-10.0,1.9852379020439388,1.7963301048660545,-0.1889077971778845,-9.51562515421406
LightGBM,T+1_R-10,Compound,Most_Negative,Enugu,2024,1.0,-10.0,1.9718888257207303,1.7917395978639885,-0.1801492278567418,-9.13587142981536
LightGBM,T+1_R-10,Compound,Most_Negative,Delta,2024,1.0,-10.0,1.9705492690557629,1.8032329887671532,-0.1673162802886094,-8.490844807386276
LightGBM,T+1_R-10,Compound,Most_Negative,Anambra,2024,1.0,-10.0,1.960842737599652,1.7935264573110434,-0.1673162802886088,-8.53287604764406
LightGBM,T+1_R-10,Compound,Most_Positive,Yobe,2024,1.0,-10.0,1.868868694497328,2.052512951550291,0.1836442570529635,9.826493300127678
LightGBM,T+1_R-10,Compound,Most_Positive,Katsina,2024,1.0,-10.0,1.9519067976449576,2.196163806758729,0.2442570091137716,12.51376394654069
LightGBM,T+1_R-10,Compound,Most_Positive,Bauchi,2024,1.0,-10.0,2.288970852812262,2.5669846066286306,0.2780137538163685,12.145797028162104
LightGBM,T+1_R-10,Compound,Most_Positive,Osun,2024,1.0,-10.0,1.6977145580657644,2.068755077400437,0.3710405193346726,21.85529467081943
LightGBM,T+1_R-10,Compound,Most_Positive,Kwara,2024,1.0,-10.0,2.320563274323994,2.8337870056645458,0.5132237313405517,22.11634291635764
LightGBM,T+1_R-20,Compound,Most_Negative,Ogun,2024,1.0,-20.0,2.201893978512967,1.7906941170369135,-0.4111998614760537,-18.67482564958711
LightGBM,T+1_R-20,Compound,Most_Negative,Imo,2024,1.0,-20.0,1.9852379020439388,1.7754320873161846,-0.2098058147277541,-10.568295845638684
LightGBM,T+1_R-20,Compound,Most_Negative,Oyo,2024,1.0,-20.0,1.9520850306715003,1.7560964137433746,-0.1959886169281259,-10.039963108610468
LightGBM,T+1_R-20,Compound,Most_Negative,Bayelsa,2024,1.0,-20.0,1.9780597189458773,1.7824715701523366,-0.1955881487935409,-9.887878860288977
LightGBM,T+1_R-20,Compound,Most_Negative,Edo,2024,1.0,-20.0,2.0208195123023867,1.825963267431016,-0.1948562448713704,-9.642436827491052
LightGBM,T+1_R-20,Compound,Most_Positive,FCT,2024,1.0,-20.0,2.675089302187353,2.8400842748126105,0.1649949726252573,6.16783045300002
LightGBM,T+1_R-20,Compound,Most_Positive,Osun,2024,1.0,-20.0,1.6977145580657644,1.8772319857829896,0.1795174277172253,10.574064224421369
LightGBM,T+1_R-20,Compound,Most_Positive,Katsina,2024,1.0,-20.0,1.9519067976449576,2.1928314922481342,0.2409246946031764,12.343042961572772
LightGBM,T+1_R-20,Compound,Most_Positive,Bauchi,2024,1.0,-20.0,2.288970852812262,2.5661712398261782,0.2772003870139161,12.110262857796718
LightGBM,T+1_R-20,Compound,Most_Positive,Kwara,2024,1.0,-20.0,2.320563274323994,2.7567545609751782,0.4361912866511841,18.796784878802814
LightGBM,T+1_R-30,Compound,Most_Negative,Ogun,2024,1.0,-30.0,2.201893978512967,1.8073306175195432,-0.394563360993424,-17.919271538218634
LightGBM,T+1_R-30,Compound,Most_Negative,Edo,2024,1.0,-30.0,2.0208195123023867,1.8164250038976328,-0.204394508404754,-10.114436601608254
LightGBM,T+1_R-30,Compound,Most_Negative,Bayelsa,2024,1.0,-30.0,1.9780597189458773,1.7824715701523366,-0.1955881487935409,-9.887878860288977
LightGBM,T+1_R-30,Compound,Most_Negative,Imo,2024,1.0,-30.0,1.9852379020439388,1.7920685877988145,-0.1931693142451245,-9.730285425552443
LightGBM,T+1_R-30,Compound,Most_Negative,Enugu,2024,1.0,-30.0,1.9718888257207303,1.7917395978639885,-0.1801492278567418,-9.13587142981536
LightGBM,T+1_R-30,Compound,Most_Positive,Plateau,2024,1.0,-30.0,2.117811946993451,2.286632363426264,0.1688204164328128,7.971454532234487
LightGBM,T+1_R-30,Compound,Most_Positive,Katsina,2024,1.0,-30.0,1.9519067976449576,2.167014070762222,0.215107273117264,11.020366001942222
LightGBM,T+1_R-30,Compound,Most_Positive,Osun,2024,1.0,-30.0,1.6977145580657644,1.924692253944696,0.2269776958789318,13.36960296420686
LightGBM,T+1_R-30,Compound,Most_Positive,Bauchi,2024,1.0,-30.0,2.288970852812262,2.535442548373625,0.2464716955613628,10.767795284878538
LightGBM,T+1_R-30,Compound,Most_Positive,Kwara,2024,1.0,-30.0,2.320563274323994,2.6825450735473515,0.3619817992233574,15.59887649815568
LightGBM,T+1_R0,Heat,Most_Negative,Ogun,2024,1.0,0.0,2.201893978512967,2.0242554189924484,-0.1776385595205187,-8.067534643084208
LightGBM,T+1_R0,Heat,Most_Negative,Edo,2024,1.0,0.0,2.0208195123023867,1.844836998321665,-0.1759825139807216,-8.708472622585623
LightGBM,T+1_R0,Heat,Most_Negative,Kaduna,2024,1.0,0.0,2.150619625529219,1.9843443253109716,-0.1662753002182475,-7.731506689721152
LightGBM,T+1_R0,Heat,Most_Negative,Enugu,2024,1.0,0.0,1.9718888257207303,1.8106332755141643,-0.1612555502065658,-8.1777201687639
LightGBM,T+1_R0,Heat,Most_Negative,Delta,2024,1.0,0.0,1.9705492690557629,1.817392749459621,-0.1531565195961419,-7.772275578246804
LightGBM,T+1_R0,Heat,Most_Positive,Katsina,2024,1.0,0.0,1.9519067976449576,2.1987596224722328,0.246852824827275,12.646752658739208
LightGBM,T+1_R0,Heat,Most_Positive,Osun,2024,1.0,0.0,1.6977145580657644,1.954361789969012,0.2566472319032475,15.117219245363026
LightGBM,T+1_R0,Heat,Most_Positive,Bauchi,2024,1.0,0.0,2.288970852812262,2.5634487388285514,0.2744778860162893,11.991322898632015
LightGBM,T+1_R0,Heat,Most_Positive,Lagos,2024,1.0,0.0,1.745769653486419,2.0238107933555445,0.2780411398691251,15.92656507196458
LightGBM,T+1_R0,Heat,Most_Positive,Kwara,2024,1.0,0.0,2.320563274323994,2.748286101555674,0.4277228272316797,18.43185367812391
LightGBM,T+2_R-10,Compound,Most_Negative,Niger,2024,2.0,-10.0,2.714291854945248,2.126868805295761,-0.5874230496494866,-21.641852867783665
LightGBM,T+2_R-10,Compound,Most_Negative,Ekiti,2024,2.0,-10.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
LightGBM,T+2_R-10,Compound,Most_Negative,Ondo,2024,2.0,-10.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
LightGBM,T+2_R-10,Compound,Most_Negative,Nasarawa,2024,2.0,-10.0,2.8528243385884564,2.613207891929864,-0.2396164466585921,-8.399270975693916
LightGBM,T+2_R-10,Compound,Most_Negative,Ogun,2024,2.0,-10.0,2.201893978512967,1.975712981919334,-0.2261809965936332,-10.272111137084943
LightGBM,T+2_R-10,Compound,Most_Positive,Osun,2024,2.0,-10.0,1.6977145580657644,1.9431914007144224,0.2454768426486577,14.4592529693763
LightGBM,T+2_R-10,Compound,Most_Positive,Kaduna,2024,2.0,-10.0,2.150619625529219,2.4076488665270253,0.2570292409978063,11.951404048707928
LightGBM,T+2_R-10,Compound,Most_Positive,Bauchi,2024,2.0,-10.0,2.288970852812262,2.5927106558961435,0.3037398030838814,13.26971039018266
LightGBM,T+2_R-10,Compound,Most_Positive,Plateau,2024,2.0,-10.0,2.117811946993451,2.472644396883456,0.3548324498900048,16.754672216942694
LightGBM,T+2_R-10,Compound,Most_Positive,Kwara,2024,2.0,-10.0,2.320563274323994,2.789656612394761,0.4690933380707669,20.214632510178763
LightGBM,T+2_R-20,Compound,Most_Negative,Niger,2024,2.0,-20.0,2.714291854945248,2.126868805295761,-0.5874230496494866,-21.641852867783665
LightGBM,T+2_R-20,Compound,Most_Negative,Ogun,2024,2.0,-20.0,2.201893978512967,1.7985526316321652,-0.403341346880802,-18.317927693920836
