Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
RandomForest,1.0,Abia,False,1.8450129406704383,1.84505274225774,1.8460314724164704,1.8460314724164704
RandomForest,1.0,Adamawa,True,2.5154141086691078,2.5037680107855094,2.502752190679689,2.4979525081400062
RandomForest,1.0,Akwa Ibom,False,1.864057685277684,1.8668944842194828,1.8479638136863124,1.8471504406704395
RandomForest,1.0,Anambra,True,1.82309012080512,1.8083180921855904,1.8071472191697184,1.8071472191697175
RandomForest,1.0,Bauchi,True,2.396087471694971,2.3893905140230127,2.3824106992081986,2.3798438738113727
RandomForest,1.0,Bayelsa,True,1.980706512839012,1.9030076720501707,1.885457001517,1.8846436285011268
RandomForest,1.0,Benue,True,2.686529219576721,2.6831362037037056,2.668596243386245,2.662497354497356
RandomForest,1.0,Borno,False,2.656956916786918,2.6637117580567597,2.6658054088504097,2.6726744564694567
RandomForest,1.0,Cross River,False,1.897900264642764,1.9007370635845628,1.882942504162503,1.88212913114663
RandomForest,1.0,Delta,True,1.876746694879193,1.861691332926331,1.86147284086284,1.86147284086284
RandomForest,1.0,Ebonyi,True,1.7905735551485555,1.788413555148555,1.788413555148555,1.788413555148555
RandomForest,1.0,Edo,False,1.957529586894586,1.9015984890109885,1.9020084096459084,1.902008409645909
RandomForest,1.0,Ekiti,True,1.9723653583453584,1.908463329725829,1.9056234090909088,1.9056234090909083
RandomForest,1.0,Enugu,True,1.7964886080586078,1.796488608058607,1.7943286080586078,1.7943286080586074
RandomForest,1.0,FCT,False,2.8215856938431942,2.8176918314093315,2.821300720298221,2.801556011303511
RandomForest,1.0,Gombe,False,2.587710052632551,2.5864611889961875,2.587954853017352,2.581946810689309
RandomForest,1.0,Imo,False,1.931751433473932,1.8654232629407617,1.85008655178155,1.8528472660672648
RandomForest,1.0,Jigawa,True,2.009638845598845,1.9962815307840305,1.977578226310726,1.9670478294853289
RandomForest,1.0,Kaduna,False,2.157309434084433,2.1727714398564384,2.1718959504384485,2.17137083139083
RandomForest,1.0,Kano,True,1.9866090668590668,1.9581849711399717,1.953325577200577,1.940251291486292
RandomForest,1.0,Katsina,False,2.060556528379028,2.0611462109187118,2.050736647426646,2.040350946368445
RandomForest,1.0,Kebbi,False,2.0903696181596176,2.0887948562548564,2.0887948562548564,2.0888091419691417
RandomForest,1.0,Kogi,False,2.699571934824436,2.699806537999039,2.686972966570467,2.6813896332371336
RandomForest,1.0,Kwara,False,2.6973014147889147,2.705859136604137,2.7056131709956714,2.6950625096200094
RandomForest,1.0,Lagos,True,1.914619274244273,1.860425565730564,1.860207073667072,1.860207073667072
RandomForest,1.0,Nasarawa,False,2.7963995791245804,2.799405015632517,2.783040293410295,2.775320452140453
RandomForest,1.0,Niger,True,2.6678903330928327,2.650736483886483,2.64792315055315,2.644637594997594
RandomForest,1.0,Ogun,False,1.9394630486180475,1.9336037006512,1.8634957905982892,1.8667942032967024
RandomForest,1.0,Ondo,True,1.9723653583453584,1.908463329725829,1.9056234090909088,1.9056234090909083
RandomForest,1.0,Osun,True,2.032427685925184,2.021558227050725,1.9242086363636344,1.9232595490620477
RandomForest,1.0,Oyo,False,1.9534217633292617,1.949096969696968,1.8677273484848471,1.869607904040403
RandomForest,1.0,Plateau,False,2.267033486790986,2.270726119066119,2.2587428386428376,2.2562671411921413
RandomForest,1.0,Rivers,False,1.9046194842194832,1.8956511112036096,1.8880361681836664,1.8911755729455717
RandomForest,1.0,Sokoto,False,2.0620773530173526,2.0667873530173533,2.065271136086136,2.035592392699892
RandomForest,1.0,Taraba,True,2.5318347411847397,2.531123987216486,2.520842929015428,2.510697479279978
RandomForest,1.0,Yobe,True,1.9927492797017787,1.9697523112073108,1.966391755651755,1.9558015003515
RandomForest,1.0,Zamfara,False,2.041586071428572,2.035366309523809,1.997962435897436,2.0077603459503464
