Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
Ridge,1.0,Abia,False,2.1284539504842592,2.1347345419570583,2.1410151334298573,2.1472957249026563
Ridge,1.0,Adamawa,True,2.281398801425308,2.2661102916053157,2.250821781785323,2.2355332719653305
Ridge,1.0,Akwa Ibom,False,1.893456284282868,1.9027099387288369,1.911963593174805,1.9212172476207736
Ridge,1.0,Anambra,False,2.016732022603931,2.023737482091989,2.0307429415800478,2.037748401068105
Ridge,1.0,Bauchi,True,2.2443787566263667,2.237935216076657,2.2314916755269483,2.225048134977239
Ridge,1.0,Bayelsa,False,2.149177161186823,2.1612342072756587,2.173291253364495,2.185348299453331
Ridge,1.0,Benue,False,2.2411147108299385,2.24216453625512,2.2432143616803004,2.2442641871054816
Ridge,1.0,Borno,True,2.123630774421465,2.114552251971049,2.105473729520633,2.096395207070217
Ridge,1.0,Cross River,False,2.0512523386107397,2.060505993056708,2.0697596475026763,2.079013301948645
Ridge,1.0,Delta,False,2.051394251522192,2.05839971101025,2.065405170498308,2.0724106299863663
Ridge,1.0,Ebonyi,False,1.9773038704072692,1.98082015738534,1.98433644436341,1.98785273134148
Ridge,1.0,Edo,False,2.131854939625737,2.1393752386328946,2.1468955376400523,2.154415836647209
Ridge,1.0,Ekiti,True,2.0645185747590125,2.06408267626918,2.063646777779348,2.063210879289516
Ridge,1.0,Enugu,False,2.0289527169270425,2.0315022397627334,2.034051762598424,2.0366012854341147
Ridge,1.0,FCT,False,2.284573940962154,2.285264309969417,2.28595467897668,2.286645047983942
Ridge,1.0,Gombe,True,2.276147931376601,2.26779746530266,2.259446999228719,2.251096533154777
Ridge,1.0,Imo,False,2.1153598691671567,2.124535311378746,2.133710753590336,2.142886195801926
Ridge,1.0,Jigawa,True,2.235211843431642,2.22696884545384,2.218725847476038,2.210482849498236
Ridge,1.0,Kaduna,False,2.416442326375257,2.4185773956531587,2.420712464931061,2.4228475342089637
Ridge,1.0,Kano,True,2.2788010940094408,2.2702526232264013,2.2617041524433628,2.253155681660324
Ridge,1.0,Katsina,True,2.261263915316828,2.2372625025407498,2.2132610897646723,2.1892596769885944
Ridge,1.0,Kebbi,True,2.686173213077728,2.6401979871727117,2.5942227612676945,2.5482475353626777
Ridge,1.0,Kogi,True,2.296182783044127,2.2934659027515045,2.2907490224588827,2.288032142166261
Ridge,1.0,Kwara,True,2.399609373983723,2.394270163295364,2.388930952607005,2.3835917419186465
Ridge,1.0,Lagos,True,1.6959428608847225,1.6948750701802997,1.693807279475876,1.692739488771453
Ridge,1.0,Nasarawa,False,2.2542418769224284,2.254786395782728,2.255330914643028,2.255875433503327
Ridge,1.0,Niger,True,2.152317094003281,2.150805727429153,2.149294360855026,2.147782994280899
Ridge,1.0,Ogun,False,2.054425078162599,2.054787853225509,2.0551506282884207,2.055513403351332
Ridge,1.0,Ondo,True,2.0645185747590125,2.06408267626918,2.063646777779348,2.063210879289516
Ridge,1.0,Osun,False,2.169973624566753,2.1710406548625407,2.1721076851583287,2.1731747154541163
Ridge,1.0,Oyo,True,2.1692289317841547,2.1674046750469,2.165580418309646,2.1637561615723917
Ridge,1.0,Plateau,True,2.2936143365026265,2.2935269645426595,2.2934395925826925,2.293352220622725
Ridge,1.0,Rivers,False,2.281432883943454,2.291927341876544,2.302421799809634,2.312916257742724
Ridge,1.0,Sokoto,True,2.2983901786501915,2.2809754209566635,2.2635606632631355,2.246145905569608
Ridge,1.0,Taraba,True,2.474230947777478,2.4654687183753285,2.456706488973179,2.4479442595710297
Ridge,1.0,Yobe,True,2.212238613102119,2.1986593989615786,2.185080184821038,2.1715009706804977
Ridge,1.0,Zamfara,True,2.2439619364250456,2.236828306876512,2.2296946773279784,2.222561047779445
