Model_A,Model_B,MAE_Difference_A_minus_B,CI_Lower,CI_Upper,CI_Excludes_Zero,Protocol,Bootstrap_Replicates
RandomForest,LightGBM,0.002292515429520414,-0.03054861434951514,0.034271543116917665,False,Temporal_2024,10000
RandomForest,Ridge,-0.018533393223100436,-0.10447107272880293,0.06288654133365977,False,Temporal_2024,10000
LightGBM,Ridge,-0.02082590865262085,-0.11185216451988937,0.0684653970009192,False,Temporal_2024,10000
RandomForest,LightGBM,-0.015251921368455046,-0.034383804380753065,0.0029761908070855135,False,Spatial_State_Held_Out,10000
RandomForest,Ridge,-0.04405906996803577,-0.10176659523844779,0.013026744977494592,False,Spatial_State_Held_Out,10000
LightGBM,Ridge,-0.028807148599580723,-0.08574870477773332,0.027288193126992176,False,Spatial_State_Held_Out,10000
