Protocol,Model,Target_Coverage,Empirical_Coverage,Coverage_Gap,Mean_Interval_Width,Mean_Observed_Yield,Width_to_Mean_Yield_Ratio,Width_as_pct_of_Mean_Yield
Temporal,LightGBM,0.9,0.8108108108108109,-0.08918918918918917,1.476463231006449,2.2232432432432434,0.6641033253979893,66.41033253979893
Temporal,RandomForest,0.9,0.8918918918918919,-0.008108108108108136,1.4521230290080331,2.2232432432432434,0.6531552646887578,65.31552646887579
Temporal,Ridge,0.9,0.918918918918919,0.018918918918918948,1.5597233377379511,2.2232432432432434,0.701553166743304,70.15531667433041
Spatial,LightGBM,0.9,0.9081081081081082,0.008108108108108136,1.5474879084738686,2.1124864864864863,0.7325433409269613,73.25433409269613
Spatial,RandomForest,0.9,0.8972972972972973,-0.002702702702702675,1.5768129728579745,2.1124864864864863,0.7464251170101208,74.64251170101208
Spatial,Ridge,0.9,0.9027027027027027,0.002702702702702675,1.6667103268820767,2.1124864864864863,0.7889803497177252,78.89803497177252
