Model,Scenario_State_Count,Spearman_04a_vs_04b,Mean_Absolute_Difference_pct_points,Median_Absolute_Difference_pct_points,Max_Absolute_Difference_pct_points,Directional_Agreement
LightGBM,407,0.9969963451527819,0.09278730550112381,0.0,3.628005474047397,0.9926289926289926
RandomForest,407,0.9989644798019017,0.014437285059541631,1.9095836023552692e-14,0.9218737189838704,0.995085995085995
Ridge,407,0.9157505776960596,0.2800920613600256,1.9984014443252818e-14,3.747733476430909,0.9901719901719902
