Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Adamawa,2020,Seasonal_Rainfall_mm,840.9300000000001,-0.010601887420454264,0.010601887420454264,1
RandomForest,Adamawa,2020,Seasonal_GDD_C,3048.325,-0.02209818599007013,0.02209818599007013,1
RandomForest,Adamawa,2020,Max_CDD_days,7.0,0.003968247826661243,0.003968247826661243,1
RandomForest,Adamawa,2020,Mean_Tmax_C,30.770217391304342,0.017048822653224518,0.017048822653224518,1
RandomForest,Adamawa,2020,Mean_Tmin_C,22.363750000000003,-0.03460543520822218,0.03460543520822218,1
RandomForest,Adamawa,2020,Mean_RH_pct,77.9875,0.00795320914887201,0.00795320914887201,1
RandomForest,Adamawa,2020,Mean_Solar_Radiation_MJ_m2_day,19.307717391304347,-0.08126977969503292,0.08126977969503292,1
RandomForest,Adamawa,2020,Rainfall_Anomaly_Z_2000_2019,-0.0167498342235269,0.013021187193613693,0.013021187193613693,1
RandomForest,Adamawa,2021,Seasonal_Rainfall_mm,885.8799999999999,0.007111046788552356,0.007111046788552356,1
RandomForest,Adamawa,2021,Seasonal_GDD_C,3097.5200000000004,-0.030698612253326978,0.030698612253326978,1
RandomForest,Adamawa,2021,Max_CDD_days,5.0,0.0012097211272744488,0.0012097211272744488,1
RandomForest,Adamawa,2021,Mean_Tmax_C,30.935597826086955,0.0188432683852944,0.0188432683852944,1
RandomForest,Adamawa,2021,Mean_Tmin_C,22.733097826086954,-0.006164651554278457,0.006164651554278457,1
RandomForest,Adamawa,2021,Mean_RH_pct,77.65951086956522,0.00737143125262095,0.00737143125262095,1
RandomForest,Adamawa,2021,Mean_Solar_Radiation_MJ_m2_day,19.328750000000003,-0.08574524263812365,0.08574524263812365,1
RandomForest,Adamawa,2021,Rainfall_Anomaly_Z_2000_2019,0.3537743037427714,0.0040822188435802615,0.0040822188435802615,1
RandomForest,Adamawa,2022,Seasonal_Rainfall_mm,1069.08,0.016677442849365984,0.016677442849365984,1
RandomForest,Adamawa,2022,Seasonal_GDD_C,2899.4700000000003,-0.01434534531135379,0.01434534531135379,1
RandomForest,Adamawa,2022,Max_CDD_days,11.0,-0.0032202844846091743,0.0032202844846091743,1
RandomForest,Adamawa,2022,Mean_Tmax_C,29.452228260869564,-0.013173386302727557,0.013173386302727557,1
RandomForest,Adamawa,2022,Mean_Tmin_C,22.06375,-0.027347468020635507,0.027347468020635507,1
RandomForest,Adamawa,2022,Mean_RH_pct,82.83494565217391,0.0275953919280605,0.0275953919280605,1
RandomForest,Adamawa,2022,Mean_Solar_Radiation_MJ_m2_day,18.905054347826084,-0.04862737055593834,0.04862737055593834,1
RandomForest,Adamawa,2022,Rainfall_Anomaly_Z_2000_2019,1.8638971530292263,-0.0006150700658383735,0.0006150700658383735,1
RandomForest,Adamawa,2023,Seasonal_Rainfall_mm,482.38,-0.11725442216980048,0.11725442216980048,1
RandomForest,Adamawa,2023,Seasonal_GDD_C,3532.025,0.1337821651130111,0.1337821651130111,1
RandomForest,Adamawa,2023,Max_CDD_days,15.0,0.012008676102252891,0.012008676102252891,1
RandomForest,Adamawa,2023,Mean_Tmax_C,34.15956521739131,0.03504241533941703,0.03504241533941703,1
RandomForest,Adamawa,2023,Mean_Tmin_C,24.23201086956522,-0.007698062100111796,0.007698062100111796,1
RandomForest,Adamawa,2023,Mean_RH_pct,64.68429347826087,-0.058809619786153296,0.058809619786153296,1
RandomForest,Adamawa,2023,Mean_Solar_Radiation_MJ_m2_day,19.35760869565217,-0.12257140555462283,0.12257140555462283,1
RandomForest,Adamawa,2023,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,-0.0073975834019152555,0.0073975834019152555,1
RandomForest,Adamawa,2024,Seasonal_Rainfall_mm,904.24,0.036879213197868625,0.036879213197868625,1
RandomForest,Adamawa,2024,Seasonal_GDD_C,3318.585,0.1382155574334272,0.1382155574334272,1
RandomForest,Adamawa,2024,Max_CDD_days,12.0,0.0055295368512026126,0.0055295368512026126,1
RandomForest,Adamawa,2024,Mean_Tmax_C,32.40342391304348,0.05305682836018926,0.05305682836018926,1
RandomForest,Adamawa,2024,Mean_Tmin_C,23.668152173913047,0.05423587363193196,0.05423587363193196,1
