Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha_04a,Median_Yield_Change_MT_Ha_04a,Q25_Yield_Change_MT_Ha_04a,Q75_Yield_Change_MT_Ha_04a,Min_Yield_Change_MT_Ha_04a,Max_Yield_Change_MT_Ha_04a,Mean_Yield_Change_pct_04a,Median_Yield_Change_pct_04a,Mean_Yield_Change_MT_Ha_04b,Median_Yield_Change_MT_Ha_04b,Q25_Yield_Change_MT_Ha_04b,Q75_Yield_Change_MT_Ha_04b,Min_Yield_Change_MT_Ha_04b,Max_Yield_Change_MT_Ha_04b,Mean_Yield_Change_pct_04b,Median_Yield_Change_pct_04b,Difference_Mean_MT_Ha_04b_minus_04a,Difference_Mean_pct_points_04b_minus_04a,Absolute_Method_Difference_pct_points
LightGBM,T+0_R-10,Drought,0.0,-10.0,-0.0133714997493749,-0.0011295858921371,-0.0410841718206445,0.0208347259212009,-0.1899456096011909,0.1125869321248149,-0.5897985141701957,-0.0619174652201999,-0.0115836489247081,-0.0011295858921371,-0.0410841718206445,0.0208347259212009,-0.1899456096011909,0.1125869321248149,-0.5086024692146534,-0.0619174652201999,0.001787850824666799,0.08119604495554233,0.08119604495554233
LightGBM,T+0_R-20,Drought,0.0,-20.0,-0.0416454398614377,-0.0259944644281677,-0.078494287463396,0.0016484001966747,-0.2527848782682698,0.0719101481759634,-1.9811239878458689,-0.9617126221196678,-0.0412357580562049,-0.036971051382064,-0.078494287463396,0.0016484001966747,-0.2108436271510605,0.0719101481759634,-1.9515249521957163,-1.34422363391955,0.0004096818052327991,0.02959903565015254,0.02959903565015254
LightGBM,T+0_R-30,Drought,0.0,-30.0,-0.0624066078270321,-0.048275911814283,-0.1224737456164386,-0.0069353717879361,-0.2019636853612485,0.0478271477302068,-2.783504963829718,-2.2666605215115254,-0.0615013534651071,-0.048275911814283,-0.1195928567409754,-0.0090639708034934,-0.1966259612168472,0.0478271477302068,-2.735356839415544,-2.2666605215115254,0.0009052543619249981,0.04814812441417393,0.04814812441417393
LightGBM,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,T+1_R-10,Compound,1.0,-10.0,0.009675924800714,-0.0044655253106775,-0.1158609439570987,0.0464716799301327,-0.2348419321038541,0.5132237313405517,0.4936787295724718,-0.2287567006823193,0.0108974606025037,-0.0044655253106775,-0.1158609439570987,0.0464716799301327,-0.1896451074376348,0.5132237313405517,0.5491553244362567,-0.2287567006823193,0.0012215358017897,0.05547659486378492,0.05547659486378492
LightGBM,T+1_R-20,Compound,1.0,-20.0,-0.0175894516796745,-0.0172146417781502,-0.1158609439570987,0.0400945596815858,-0.4111998614760537,0.4361912866511841,-0.8700047970104932,-0.6368870699015425,-0.0177210934018898,-0.0172146417781502,-0.1158609439570987,0.0400945596815858,-0.3699870193373216,0.4361912866511841,-0.8643433875379035,-0.6368870699015425,-0.00013164172221529977,0.00566140947258964,0.00566140947258964
LightGBM,T+1_R-30,Compound,1.0,-30.0,-0.044195210720005,-0.0839570870895478,-0.1266077814297648,0.0147297731381583,-0.394563360993424,0.3619817992233574,-1.964614285509617,-3.093148842361369,-0.0438312798855282,-0.0839570870895478,-0.1266077814297648,0.0147297731381583,-0.3533505188546919,0.3619817992233574,-1.940403787273008,-3.093148842361369,0.0003639308344767986,0.024210498236608924,0.024210498236608924
LightGBM,T+1_R0,Heat,1.0,0.0,0.0277323156133168,0.0010378124233063,-0.0488767583090619,0.0936287533667217,-0.1776385595205187,0.4277228272316797,1.345801537798577,0.0578813445430101,0.0277323156133168,0.0010378124233063,-0.0488767583090619,0.0936287533667217,-0.1776385595205187,0.4277228272316797,1.345801537798577,0.0578813445430101,0.0,0.0,0.0
LightGBM,T+2_R-10,Compound,2.0,-10.0,0.0058018876061865,0.0110351078161525,-0.133693680158661,0.1254484163872991,-0.5874230496494866,0.4690933380707669,0.4416942603752151,0.4885347002477208,0.0070234234079762,0.0110351078161525,-0.133693680158661,0.1254484163872991,-0.5874230496494866,0.4690933380707669,0.4971708552390009,0.4885347002477208,0.0012215358017897,0.05547659486378581,0.05547659486378581
LightGBM,T+2_R-20,Compound,2.0,-20.0,-0.0214605460951377,0.0005985971661586,-0.1844612675085575,0.117576011878397,-0.5874230496494866,0.408695697218385,-0.9275520192003608,0.0333852322816805,-0.0229030657402953,0.0005985971661586,-0.1844612675085575,0.0990485265603553,-0.5874230496494866,0.408695697218385,-0.969428372612536,0.0333852322816805,-0.0014425196451576007,-0.041876353412175216,0.041876353412175216
LightGBM,T+2_R-30,Compound,2.0,-30.0,-0.047339105882692,-0.0495491330847159,-0.1604955781166641,0.0860800668226486,-0.5965588853604409,0.3465078684955602,-1.9861595627610151,-1.9401612178481635,-0.0482860529711575,-0.0495491330847159,-0.1604955781166641,0.0840921425177878,-0.5965588853604409,0.3465078684955602,-2.0094868274091704,-1.9401612178481635,-0.0009469470884654954,-0.023327264648155266,0.023327264648155266
LightGBM,T+2_R0,Heat,2.0,0.0,0.0194524322476336,0.0121646937082897,-0.1184949853178096,0.1367946493658156,-0.5685293719993103,0.3982756021401097,1.139138004682885,0.6667992269028272,0.0194524322476336,0.0121646937082897,-0.1184949853178096,0.1367946493658156,-0.5685293719993103,0.3982756021401097,1.139138004682885,0.6667992269028272,0.0,0.0,0.0
RandomForest,T+0_R-10,Drought,0.0,-10.0,-0.0101663983313983,-0.0019527513227513,-0.0147741498316511,0.0019723677248681,-0.0776988407888401,0.0186367328042331,-0.5032784566929547,-0.0973144034972382,-0.0101651445776446,-0.0019527513227517,-0.0147741498316502,0.0019723677248673,-0.0776988407888412,0.0186367328042329,-0.5032289484467303,-0.0973144034972382,1.2537537536997517e-06,4.950824622440564e-05,4.950824622440564e-05
