Outer_Fold,State,Year,Model,Observed_Yield,Predicted_Yield,Lower_90,Upper_90,Interval_Width,Covered,Calibration_qhat
1,Adamawa,2020,Ridge,2.17,2.4191986310805342,1.6000852440306461,3.238312018130422,1.638226774099776,True,0.8191133870498881
1,Adamawa,2021,Ridge,2.18,2.3612258840764278,1.5421124970265396,3.180339271126316,1.6382267740997765,True,0.8191133870498881
1,Adamawa,2022,Ridge,2.27,2.5056221226889863,1.6865087356390982,3.3247355097388747,1.6382267740997765,True,0.8191133870498881
1,Adamawa,2023,Ridge,2.31,2.0567150430318293,1.2376016559819412,2.875828430081717,1.638226774099776,True,0.8191133870498881
1,Adamawa,2024,Ridge,2.38,2.3036360494622103,1.4845226624123222,3.1227494365120982,1.638226774099776,True,0.8191133870498881
1,Benue,2020,Ridge,2.35,2.276965732525615,1.4578523454757268,3.096079119575503,1.638226774099776,True,0.8191133870498881
1,Benue,2021,Ridge,2.36,2.2541366173218855,1.4350232302719974,3.073250004371774,1.6382267740997765,True,0.8191133870498881
1,Benue,2022,Ridge,2.48,2.28530460910083,1.466191222050942,3.104417996150718,1.638226774099776,True,0.8191133870498881
1,Benue,2023,Ridge,2.53,2.2592794959305973,1.4401661088807092,3.078392882980485,1.638226774099776,True,0.8191133870498881
1,Benue,2024,Ridge,2.59,2.2022816778414045,1.3831682907915164,3.0213950648912924,1.638226774099776,True,0.8191133870498881
1,Edo,2020,Ridge,1.52,2.0666880336525724,1.2475746466026842,2.8858014207024603,1.638226774099776,True,0.8191133870498881
1,Edo,2021,Ridge,1.48,1.9716782086115634,1.1525648215616753,2.7907915956614513,1.638226774099776,True,0.8191133870498881
1,Edo,2022,Ridge,2.26,2.1230626746884473,1.3039492876385592,2.9421760617383352,1.638226774099776,True,0.8191133870498881
1,Edo,2023,Ridge,2.3,2.057557859219544,1.238444472169656,2.8766712462694324,1.6382267740997765,True,0.8191133870498881
1,Edo,2024,Ridge,2.37,2.1066748460556695,1.2875614590057813,2.925788233105558,1.6382267740997765,True,0.8191133870498881
1,Imo,2020,Ridge,2.42,1.9255076905084536,1.1063943034585655,2.7446210775583415,1.638226774099776,True,0.8191133870498881
1,Imo,2021,Ridge,2.42,1.9001421484753216,1.0810287614254335,2.7192555355252095,1.638226774099776,True,0.8191133870498881
1,Imo,2022,Ridge,2.36,2.066607429439293,1.2474940423894048,2.885720816489181,1.6382267740997765,True,0.8191133870498881
1,Imo,2023,Ridge,2.41,1.9723996099427759,1.1532862228928877,2.791512996992664,1.6382267740997762,True,0.8191133870498881
1,Imo,2024,Ridge,2.48,2.0173969855343854,1.1982835984844973,2.8365103725842733,1.638226774099776,True,0.8191133870498881
1,Kebbi,2020,Ridge,1.99,2.4823178587287464,1.6632044716788583,3.301431245778635,1.6382267740997765,True,0.8191133870498881
1,Kebbi,2021,Ridge,1.97,2.2846618095071043,1.4655484224572162,3.1037751965569926,1.6382267740997765,True,0.8191133870498881
1,Kebbi,2022,Ridge,2.11,2.4582037600169273,1.6390903729670392,3.2773171470668157,1.6382267740997765,True,0.8191133870498881
1,Kebbi,2023,Ridge,2.15,2.22766721487631,1.4085538278264218,3.046780601926198,1.638226774099776,True,0.8191133870498881
1,Kebbi,2024,Ridge,2.15,2.780513754094873,1.9614003670449847,3.5996271411447607,1.638226774099776,True,0.8191133870498881
1,Niger,2020,Ridge,2.48,2.256178568264541,1.4370651812146529,3.0752919553144293,1.6382267740997765,True,0.8191133870498881
1,Niger,2021,Ridge,2.71,2.0972878079677857,1.2781744209178976,2.9164011950176736,1.638226774099776,True,0.8191133870498881
1,Niger,2022,Ridge,3.44,2.2593434007713564,1.4402300137214683,3.0784567878212448,1.6382267740997765,False,0.8191133870498881
1,Niger,2023,Ridge,3.51,2.1513130421473052,1.3321996550974171,2.970426429197193,1.638226774099776,False,0.8191133870498881
1,Niger,2024,Ridge,3.59,2.1210906773758844,1.3019772903259963,2.9402040644257728,1.6382267740997765,False,0.8191133870498881
1,Plateau,2020,Ridge,2.48,2.5140999777072746,1.6949865906573864,3.333213364757163,1.6382267740997765,True,0.8191133870498881
1,Plateau,2021,Ridge,2.48,2.3413546383327937,1.5222412512829055,3.1604680253826816,1.638226774099776,True,0.8191133870498881
1,Plateau,2022,Ridge,2.24,2.4741256649805803,1.6550122779306922,3.2932390520304686,1.6382267740997765,True,0.8191133870498881
1,Plateau,2023,Ridge,2.29,2.561840646084981,1.742727259035093,3.380954033134869,1.638226774099776,True,0.8191133870498881
1,Plateau,2024,Ridge,2.34,2.6421093852326023,1.8229959981827142,3.4612227722824906,1.6382267740997765,True,0.8191133870498881
1,Zamfara,2020,Ridge,1.39,2.526770218910097,1.707656831860209,3.345883605959985,1.638226774099776,False,0.8191133870498881
1,Zamfara,2021,Ridge,1.43,2.4609084182434513,1.6417950311935632,3.280021805293339,1.638226774099776,False,0.8191133870498881
1,Zamfara,2022,Ridge,1.5,2.5442082062115015,1.7250948191616133,3.3633215932613894,1.638226774099776,False,0.8191133870498881
1,Zamfara,2023,Ridge,1.54,2.29350117906185,1.4743877920119617,3.1126145661117377,1.638226774099776,True,0.8191133870498881
1,Zamfara,2024,Ridge,1.6,2.404994260524196,1.5858808734743077,3.224107647574084,1.6382267740997765,True,0.8191133870498881
1,Adamawa,2020,RandomForest,2.17,2.064633417508417,1.2906940259740232,2.8385728090428106,1.5478787830687875,True,0.7739393915343937
1,Adamawa,2021,RandomForest,2.18,2.069834806397305,1.2958954148629114,2.843774197931699,1.5478787830687875,True,0.7739393915343937
1,Adamawa,2022,RandomForest,2.27,2.053616062178562,1.2796766706441685,2.827555453712956,1.5478787830687875,True,0.7739393915343937
1,Adamawa,2023,RandomForest,2.31,2.247370132275131,1.4734307407407372,3.0213095238095247,1.5478787830687875,True,0.7739393915343937
1,Adamawa,2024,RandomForest,2.38,2.49870617845118,1.7247667869167862,3.2726455699855737,1.5478787830687875,True,0.7739393915343937
1,Benue,2020,RandomForest,2.35,2.546041729196731,1.7721023376623375,3.319981120731125,1.5478787830687875,True,0.7739393915343937
1,Benue,2021,RandomForest,2.36,2.653578469123471,1.8796390775890774,3.427517860657865,1.5478787830687875,True,0.7739393915343937
1,Benue,2022,RandomForest,2.48,2.474654757094758,1.7007153655603644,3.248594148629152,1.5478787830687875,True,0.7739393915343937
1,Benue,2023,RandomForest,2.53,2.621248087745589,1.8473086962111953,3.3951874792799828,1.5478787830687875,True,0.7739393915343937
1,Benue,2024,RandomForest,2.59,2.66531388037888,1.8913744888444861,3.4392532719132736,1.5478787830687875,True,0.7739393915343937
1,Edo,2020,RandomForest,1.52,1.966426661579161,1.1924872700447673,2.7403660531135547,1.5478787830687875,True,0.7739393915343937
1,Edo,2021,RandomForest,1.48,1.9878609340659337,1.21392154253154,2.761800325600327,1.5478787830687872,True,0.7739393915343937
1,Edo,2022,RandomForest,2.26,1.9434801704776703,1.1695407789432766,2.717419562012064,1.5478787830687875,True,0.7739393915343937
1,Edo,2023,RandomForest,2.3,1.7152395956820954,0.9413002041477017,2.489178987216489,1.5478787830687872,True,0.7739393915343937
1,Edo,2024,RandomForest,2.37,1.990820285243079,1.2168808937086852,2.764759676777473,1.5478787830687877,True,0.7739393915343937
1,Imo,2020,RandomForest,2.42,1.9526067370320304,1.1786673454976366,2.726546128566424,1.5478787830687875,True,0.7739393915343937
1,Imo,2021,RandomForest,2.42,1.7548889923039928,0.980949600769599,2.5288283838383867,1.5478787830687877,True,0.7739393915343937
1,Imo,2022,RandomForest,2.36,1.8897085131263063,1.1157691215919125,2.6636479046607002,1.5478787830687877,True,0.7739393915343937
1,Imo,2023,RandomForest,2.41,1.902600598845598,1.1286612073112043,2.676539990379992,1.5478787830687875,True,0.7739393915343937
1,Imo,2024,RandomForest,2.48,1.7970252152477149,1.0230858237133211,2.5709646067821086,1.5478787830687875,True,0.7739393915343937
1,Kebbi,2020,RandomForest,1.99,2.4275254330854334,1.6535860415510397,3.201464824619827,1.5478787830687875,True,0.7739393915343937
1,Kebbi,2021,RandomForest,1.97,2.5183908946608957,1.744451503126502,3.2923302861952894,1.5478787830687875,True,0.7739393915343937
1,Kebbi,2022,RandomForest,2.11,2.6056898522773526,1.8317504607429589,3.3796292438117463,1.5478787830687875,True,0.7739393915343937
1,Kebbi,2023,RandomForest,2.15,2.3405956794131804,1.5666562878787866,3.114535070947574,1.5478787830687875,True,0.7739393915343937
1,Kebbi,2024,RandomForest,2.15,2.2889893183668204,1.5150499268324267,3.062928709901214,1.5478787830687875,True,0.7739393915343937
1,Niger,2020,RandomForest,2.48,2.5594414787989797,1.785502087264586,3.3333808703333734,1.5478787830687875,True,0.7739393915343937
1,Niger,2021,RandomForest,2.71,2.5509894816294807,1.777050090095087,3.3249288731638744,1.5478787830687875,True,0.7739393915343937
1,Niger,2022,RandomForest,3.44,2.617798793798794,1.8438594022644001,3.3917381853331876,1.5478787830687875,False,0.7739393915343937
1,Niger,2023,RandomForest,3.51,2.6437751380101395,1.8698357464757458,3.4177145295445333,1.5478787830687875,False,0.7739393915343937
1,Niger,2024,RandomForest,3.59,2.5694374744699764,1.7954980829355827,3.34337686600437,1.5478787830687875,False,0.7739393915343937
1,Plateau,2020,RandomForest,2.48,2.5763200553150547,1.802380663780661,3.3502594468494484,1.5478787830687875,True,0.7739393915343937
1,Plateau,2021,RandomForest,2.48,2.438155015632515,1.6642156240981212,3.2120944071669086,1.5478787830687875,True,0.7739393915343937
1,Plateau,2022,RandomForest,2.24,2.55834676166426,1.7844073701298662,3.3322861531986536,1.5478787830687875,True,0.7739393915343937
1,Plateau,2023,RandomForest,2.29,2.476380340307839,1.7024409487734453,3.2503197318422328,1.5478787830687875,True,0.7739393915343937
1,Plateau,2024,RandomForest,2.34,2.4800177849927842,1.7060783934583905,3.253957176527178,1.5478787830687875,True,0.7739393915343937
1,Zamfara,2020,RandomForest,1.39,2.202718187830685,1.4287787962962915,2.976657579365079,1.5478787830687875,False,0.7739393915343937
1,Zamfara,2021,RandomForest,1.43,2.1022791221741217,1.328339730639728,2.8762185137085154,1.5478787830687875,True,0.7739393915343937
1,Zamfara,2022,RandomForest,1.5,2.3411820298220283,1.5672426382876345,3.115121421356422,1.5478787830687875,False,0.7739393915343937
1,Zamfara,2023,RandomForest,1.54,2.454504384319385,1.680564992784991,3.2284437758537785,1.5478787830687875,False,0.7739393915343937
1,Zamfara,2024,RandomForest,1.6,2.358117246272246,1.5841778547378524,3.13205663780664,1.5478787830687875,True,0.7739393915343937
1,Adamawa,2020,LightGBM,2.17,1.9583250531331444,1.18220172262816,2.734448383638129,1.5522466610099688,True,0.7761233305049844
1,Adamawa,2021,LightGBM,2.18,1.9568248648383983,1.180701534333414,2.7329481953433827,1.5522466610099688,True,0.7761233305049844
